id,agent_type,batch_size,best_acc,best_epoch,best_val_loss,encoding_size,epochs_tained_for,hidden_dim,img_size,learning_rate,momentum,network_type,nonlinearity,num_epochs,num_hidden_layers,patience_epochs,time_sec,weight_decay
2144,ff,64,0.7023809523809523,44,6.3384881019592285,50,51,100,28,0.05,0.1,vanilla,relu,60,1,6,10.106095790863037,0
602,ff,32,0.6904761904761905,21,3.7174925804138184,100,28,250,28,0.1,0.2,vanilla,relu,60,1,6,8.55142068862915,0
1201,ff,64,0.6904761904761905,22,6.874439239501953,50,29,100,28,0.1,0.5,vanilla,relu,60,1,6,7.042694091796875,0
1772,ff,32,0.6785714285714286,30,3.640191078186035,100,37,300,28,0.1,0.1,vanilla,relu,60,1,6,8.990577220916748,0
1235,ff,16,0.6785714285714286,14,6.3724045753479,50,21,200,28,0.05,0.0,vanilla,relu,60,1,6,6.729664325714111,0
597,ff,4,0.6785714285714286,20,1.735479712486267,250,27,150,28,0.05,0.5,vanilla,relu,60,1,6,23.458120346069336,0
2047,ff,16,0.6785714285714286,15,3.751891613006592,100,22,250,28,0.1,0.1,vanilla,relu,60,1,6,7.690582513809204,0
938,ff,4,0.6785714285714286,14,1.371199369430542,300,21,200,28,0.05,0.4,vanilla,relu,60,1,6,22.53395962715149,0
2261,ff,8,0.6666666666666666,8,2.7942187786102295,150,18,150,28,0.1,0.2,vanilla,relu,60,1,6,9.791287660598755,0
1878,ff,8,0.6666666666666666,16,2.1808223724365234,200,23,300,28,0.1,0.4,vanilla,relu,60,1,6,13.11207628250122,0
